road_id,lden_db
1177157005_1177120071_0,63.0
1177157005_1177120060_0,63.0
1177157014_2407138071_0,61.0
1177157014_246182757_0,61.0
1177157014_1177157016_0,54.0
1177157016_1177156992_0,54.0
1177157016_1177157014_0,54.0
1177157024_12181435188_0,54.0
1177157024_12181435186_0,55.0
1177157035_1177156992_0,54.0
1177157035_12181435188_0,54.0
1177157035_1177157058_0,54.0
1177157058_1085377805_0,61.0
1177157058_1091842279_0,61.0
1177183150_1091826692_0,64.0
1177183150_1177183156_0,64.0
1177183150_1177183156_1,64.0
1177183156_1177120050_0,64.0
1177183156_1177183150_0,64.0
1177183161_1180750433_0,54.0
1177183161_246182003_0,54.0
1180686279_1180686283_0,54.0
1180686279_1512564829_0,54.0
1180686283_1180686279_0,54.0
1180727051_1180686279_0,54.0
1180727051_1512110572_0,54.0
1180750433_1512564829_0,54.0
1180750433_4569344752_0,54.0
1180750434_1180727051_0,54.0
