signal_id,latitude,longitude,google_earth_url,verified,actual_type,notes
529,41.3993042,2.1628063,"https://earth.google.com/web/@41.3993042,2.1628063,100a,500d,35y,0h,0t,0r",,,
530,41.3985972,2.1620824,"https://earth.google.com/web/@41.3985972,2.1620824,100a,500d,35y,0h,0t,0r",,,
531,41.3982158,2.1620733,"https://earth.google.com/web/@41.3982158,2.1620733,100a,500d,35y,0h,0t,0r",,,
532,41.3983078,2.1617167,"https://earth.google.com/web/@41.3983078,2.1617167,100a,500d,35y,0h,0t,0r",,,
533,41.3980752,2.1645207,"https://earth.google.com/web/@41.3980752,2.1645207,100a,500d,35y,0h,0t,0r",,,
534,41.3976688,2.164779,"https://earth.google.com/web/@41.3976688,2.164779,100a,500d,35y,0h,0t,0r",,,
535,41.3980418,2.1647661,"https://earth.google.com/web/@41.3980418,2.1647661,100a,500d,35y,0h,0t,0r",,,
536,41.3976965,2.1607355,"https://earth.google.com/web/@41.3976965,2.1607355,100a,500d,35y,0h,0t,0r",,,
537,41.3977385,2.160962,"https://earth.google.com/web/@41.3977385,2.160962,100a,500d,35y,0h,0t,0r",,,
538,41.3974418,2.1605458,"https://earth.google.com/web/@41.3974418,2.1605458,100a,500d,35y,0h,0t,0r",,,
539,41.4002407,2.1801226,"https://earth.google.com/web/@41.4002407,2.1801226,100a,500d,35y,0h,0t,0r",,,
540,41.3884194,2.1643593,"https://earth.google.com/web/@41.3884194,2.1643593,100a,500d,35y,0h,0t,0r",,,
541,41.3849997,2.1597886,"https://earth.google.com/web/@41.3849997,2.1597886,100a,500d,35y,0h,0t,0r",,,
542,41.3841221,2.1586307,"https://earth.google.com/web/@41.3841221,2.1586307,100a,500d,35y,0h,0t,0r",,,
543,41.3772054,2.1377011,"https://earth.google.com/web/@41.3772054,2.1377011,100a,500d,35y,0h,0t,0r",,,
544,41.3870406,2.1710909,"https://earth.google.com/web/@41.3870406,2.1710909,100a,500d,35y,0h,0t,0r",,,
545,41.387131,2.1712007,"https://earth.google.com/web/@41.387131,2.1712007,100a,500d,35y,0h,0t,0r",,,
546,41.3875874,2.1703998,"https://earth.google.com/web/@41.3875874,2.1703998,100a,500d,35y,0h,0t,0r",,,
547,41.3875077,2.1688511,"https://earth.google.com/web/@41.3875077,2.1688511,100a,500d,35y,0h,0t,0r",,,
548,41.387648,2.1681398,"https://earth.google.com/web/@41.387648,2.1681398,100a,500d,35y,0h,0t,0r",,,
549,41.3875194,2.1683137,"https://earth.google.com/web/@41.3875194,2.1683137,100a,500d,35y,0h,0t,0r",,,
550,41.3856436,2.169884,"https://earth.google.com/web/@41.3856436,2.169884,100a,500d,35y,0h,0t,0r",,,
