road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street,dist_to_main
144806873_144806867_0,1,1,1,5,3914.714602136635,1351.2662009439791,770.1752616008788,660.0537996348468,0.0,286.71008907638446,770.1752616008788
144806873_144806892_0,1,1,0,5,3849.357742085739,1178.9534386354894,770.1752616008788,478.01983000866915,0.0,286.71008907638446,770.1752616008788
144806873_144806877_0,1,1,1,5,3832.7912435179496,1315.3634170901976,703.3594277251423,663.8310911085184,0.0,229.61644693708578,703.3594277251423
144806877_144806897_0,1,1,0,5,3766.421038393804,1141.4542993978405,703.3594277251423,496.89164044800873,0.0,229.61644693708578,703.3594277251423
144806877_2215513918_0,1,1,1,5,3793.5422969918827,1298.9487624238413,671.9415510929048,624.4169401758264,0.0,205.01879672678697,671.9415510929048
144806877_144806873_0,1,1,1,5,3832.7912435179496,1315.3634170901976,703.3594277251423,663.8310911085184,0.0,229.61644693708578,703.3594277251423
144806882_38304923_0,1,1,0,5,4045.6538917927937,1251.9565581829902,850.2687800957525,428.9865294833525,0.0,564.6145507831764,850.2687800957525
144806882_1645798451_0,1,1,0,5,4045.65663474466,1273.3775645397025,852.4917388927572,458.29062069559524,0.0,407.01906491596196,852.4917388927572
144806882_144806887_0,1,1,0,5,3930.8616346778995,1217.053542347156,852.4917388927572,455.92280503141143,0.0,486.11126691789815,852.4917388927572
144806887_144806892_0,1,1,0,5,3849.357742085739,1178.9534386354894,893.8076416200845,465.082584676599,0.0,434.72299222601634,893.8076416200845
144806887_144806882_0,1,1,0,5,3930.8616346778995,1217.053542347156,852.4917388927572,455.92280503141143,0.0,486.11126691789815,852.4917388927572
144806887_144806903_0,1,1,0,5,3930.8616346778995,1217.053542347156,836.1648412942822,465.082584676599,0.0,354.263150557692,836.1648412942822
144806892_144806897_0,1,1,1,5,3766.421038393804,1141.4542993978405,827.0321799612776,478.01983000866915,0.0,391.0598308146255,827.0321799612776
144806892_144806887_0,1,1,0,5,3849.357742085739,1178.9534386354894,893.8076416200845,465.082584676599,0.0,434.72299222601634,893.8076416200845
144806892_144806873_0,1,1,0,5,3849.357742085739,1178.9534386354894,770.1752616008788,478.01983000866915,0.0,286.71008907638446,770.1752616008788
