TRAM,fid,street_id,street_length_m,daytime_count_150m,nighttime_count_150m,continuous_count_150m,discontinuous_count_150m,transport_related_count_150m,noise_sensitive_count_150m,recreation_green_count_150m,support_infrastructure_count_150m,daytime_count_per_meter_150m,nighttime_count_per_meter_150m,continuous_count_per_meter_150m,discontinuous_count_per_meter_150m,transport_related_count_per_meter_150m,noise_sensitive_count_per_meter_150m,recreation_green_count_per_meter_150m,support_infrastructure_count_per_meter_150m
T09839X,198,T09839X,122.7472483126016,3,3,7,3,6,2,15,3,0.024440466415669628,0.024440466415669628,0.0570277549698958,0.024440466415669628,0.048880932831339256,0.016293644277113085,0.12220233207834814,0.024440466415669628
T00099B,199,T00099B,14.436588461076047,31,8,167,36,16,1,6,135,2.147321722412622,0.5541475412677734,11.56782992396477,2.4936639357049804,1.1082950825355469,0.06926844265847168,0.41561065595083,9.351239758893676
T09574R,200,T09574R,136.21562135037058,6,6,15,7,10,3,10,8,0.0440478114075253,0.0440478114075253,0.11011952851881325,0.051389113308779516,0.07341301901254216,0.02202390570376265,0.07341301901254216,0.058730415210033735
T19280L,201,T19280L,67.0885345090229,27,8,40,31,19,1,4,11,0.40245326861877867,0.11924541292408257,0.5962270646204129,0.46207597508082,0.28320785569469614,0.014905676615510321,0.059622706462041285,0.16396244277061353
T20933U,202,T20933U,61.374491441504645,7,0,9,3,4,2,5,1,0.11405389821717095,0.0,0.14664072627921979,0.04888024209307326,0.06517365612409769,0.03258682806204884,0.0814670701551221,0.01629341403102442
T15832F,203,T15832F,78.7181575201502,0,0,16,0,0,0,2,16,0.0,0.0,0.20325678984425335,0.0,0.0,0.0,0.02540709873053167,0.20325678984425335
T21310Z,204,T21310Z,84.99656894535417,0,0,2,0,1,2,1,0,0.0,0.0,0.023530361575957684,0.0,0.011765180787978842,0.023530361575957684,0.011765180787978842,0.0
T14932E,205,T14932E,26.910519692832732,4,1,46,3,3,3,12,42,0.14864075631602716,0.03716018907900679,1.7093686976343123,0.11148056723702036,0.11148056723702036,0.11148056723702036,0.44592226894808146,1.560727941318285
T20053X,206,T20053X,254.84130291660932,2,2,24,3,6,3,16,22,0.007848021404342183,0.007848021404342183,0.0941762568521062,0.011772032106513276,0.02354406421302655,0.011772032106513276,0.06278417123473747,0.08632823544776401
T20295N,207,T20295N,163.29309985543125,8,1,12,6,3,2,11,2,0.04899165982569174,0.006123957478211467,0.0734874897385376,0.0367437448692688,0.0183718724346344,0.012247914956422934,0.06736353226032614,0.012247914956422934
