road_id,noise_day,noise_evening,noise_night,road_length,road_category,one_way
26057389_3314271774_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),134.58462876366326,primary,0
3109574422_2560087403_0,65 - 70 dB(A),65 - 70 dB(A),55 - 60 dB(A),74.61069767383364,residential,0
26057388_30238009_0,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),150.4892568046777,tertiary,0
3109205926_3109205928_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),54.14665125722738,residential,0
26057346_26057345_0,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),41.4868314783793,secondary,0
26057345_533662625_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),137.07413704820925,secondary,0
30227050_30227052_0,60 - 65 dB(A),55 - 60 dB(A),55 - 60 dB(A),85.23481777869222,living_street,0
30227048_192071165_0,55 - 60 dB(A),50 - 55 dB(A),55 - 60 dB(A),54.67851376485798,living_street,0
30227048_30227049_0,50 - 55 dB(A),50 - 55 dB(A),55 - 60 dB(A),73.07655740847656,living_street,0
30227035_30227468_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),101.56211700075934,tertiary,0
30227035_30227037_0,65 - 70 dB(A),60 - 65 dB(A),60 - 65 dB(A),194.5442348765361,residential,0
30227034_30227032_0,55 - 60 dB(A),50 - 55 dB(A),50 - 55 dB(A),120.4764334067713,living_street,0
30227027_30227025_0,50 - 55 dB(A),50 - 55 dB(A),55 - 60 dB(A),123.78012282177461,residential,0
30227027_30227025_0,50 - 55 dB(A),55 - 60 dB(A),60 - 65 dB(A),123.78012282177461,residential,0
30227025_30227032_0,50 - 55 dB(A),50 - 55 dB(A),55 - 60 dB(A),62.205898928582144,tertiary,0
26198844_30243042_0,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),148.9566183781438,secondary,0
26198844_30243042_0,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A),148.9566183781438,secondary,0
30227132_30227153_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),83.16983428486132,living_street,0
30227132_30227133_0,55 - 60 dB(A),55 - 60 dB(A),60 - 65 dB(A),85.2919294867385,living_street,0
30227131_30227139_0,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),28.69072951282184,living_street,0
30227131_30227132_0,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),68.91258197353841,living_street,0
30227068_3743057429_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),75.77693477209027,tertiary,0
30227068_30227050_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),68.50686735443196,residential,0
30227068_30227050_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),68.50686735443196,residential,0
30227050_30227049_0,60 - 65 dB(A),55 - 60 dB(A),55 - 60 dB(A),61.407575873467984,living_street,0
30227050_30227052_0,50 - 55 dB(A),50 - 55 dB(A),50 - 55 dB(A),85.23481777869222,living_street,0
30227139_30227131_0,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),28.69072951282184,living_street,0
3096906055_30227450_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),141.42525597058088,living_street,0
3096906055_30227450_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),141.42525597058088,living_street,0
30227135_30227136_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),52.8936540335443,residential,0
30227135_30227136_0,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A),52.8936540335443,residential,0
30227134_30227135_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),38.68079355405858,living_street,0
30227133_2264151290_0,55 - 60 dB(A),55 - 60 dB(A),60 - 65 dB(A),54.40623286276884,living_street,0
30227133_2264151290_0,60 - 65 dB(A),60 - 65 dB(A),60 - 65 dB(A),54.40623286276884,living_street,0
13391145408_190986445_0,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A),76.88711233897799,secondary,0
13324378812_402875797_0,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),1488.7953102312106,primary,0
13752754617_11365497701_0,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),92.80150647420747,living_street,0
13752754617_11365497701_0,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),92.80150647420747,living_street,0
13734642240_4538123416_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),167.0311146619658,secondary,0
3096906055_30227450_0,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),141.42525597058088,living_street,0
30227133_2264151290_0,55 - 60 dB(A),50 - 55 dB(A),55 - 60 dB(A),54.40623286276884,living_street,0
30227132_30227154_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),65.96456271857193,living_street,0
3085906940_1575396667_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),149.73883325707672,living_street,0
30227157_30227134_0,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),72.20574485279323,living_street,0
30227157_30227134_0,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A),72.20574485279323,living_street,0
30227157_30227134_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),72.20574485279323,living_street,0
30227157_30227156_0,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),44.63901095235003,living_street,0
30227156_30227151_0,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),40.601302627282585,living_street,0
30227156_30227157_0,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),44.63901095235003,living_street,0
30227154_30227132_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),65.96456271857193,living_street,0
30227153_30227158_0,55 - 60 dB(A),55 - 60 dB(A),45 - 50 dB(A),49.804869659122396,living_street,0
30227153_30227132_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),83.16983428486132,living_street,0
30227153_30227132_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),83.16983428486132,living_street,0
3129196082_448786027_0,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),18.935822550815473,tertiary,0
30227193_30227195_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),89.48335131578895,living_street,0
30227192_112409083_0,65 - 70 dB(A),60 - 65 dB(A),60 - 65 dB(A),54.54695681953238,residential,0
30227192_112409079_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),104.31910107648764,living_street,0
30227192_112409079_0,65 - 70 dB(A),60 - 65 dB(A),60 - 65 dB(A),104.31910107648764,living_street,0
3129196077_3129196076_0,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A),66.31761077276344,living_street,0
30227159_30227135_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),88.20856844404572,living_street,0
30227159_30227158_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),42.37674492962312,living_street,0
30227158_30227134_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),73.30857998911026,living_street,0
30227158_30227134_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),73.30857998911026,living_street,0
30227233_1400544022_0,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A),46.1565718109476,residential,0
30227232_30227160_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),6.497014932971863,residential,0
3129196076_3129196082_0,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A),104.35305062413998,residential,0
3129196076_3129196082_0,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A),104.35305062413998,residential,0
30227198_30884331_0,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A),97.36423588003814,residential,0
30227198_30884331_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),97.36423588003814,residential,0
30227196_30227153_0,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A),87.63181686597673,living_street,0
30227195_30227157_0,60 - 65 dB(A),60 - 65 dB(A),60 - 65 dB(A),126.29554122061657,living_street,0
30227487_431107481_0,60 - 65 dB(A),60 - 65 dB(A),60 - 65 dB(A),205.32405370878521,living_street,0
