street_id,road_category,signal_count_50m,poi_count_50m,tree_count_50m,transport_count_50m,signal_count_100m,poi_count_100m,tree_count_100m,transport_count_100m,noise_day,noise_evening,noise_night
3530,pedestrian,1,1,1,1,3,1,1,2,40 - 45 dB(A),40 - 45 dB(A),< 40 dB(A)
3531,residential,2,1,56,1,3,1,170,1,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3532,residential,1,1,1,1,1,2,1,1,55 - 60 dB(A),55 - 60 dB(A),45 - 50 dB(A)
3533,tertiary,8,5,83,1,14,8,227,2,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3534,primary,8,17,6,2,8,29,16,5,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
3535,tertiary,1,1,1,4,3,3,1,9,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3536,residential,6,3,1,1,9,13,1,1,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3537,residential,1,3,1,1,1,30,1,1,50 - 55 dB(A),50 - 55 dB(A),40 - 45 dB(A)
3538,residential,1,1,14,1,1,1,21,2,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3539,secondary,1,1,22,1,1,1,51,4,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3540,tertiary,1,1,1,1,1,1,1,2,55 - 60 dB(A),55 - 60 dB(A),55 - 60 dB(A)
3541,residential,1,1,1,1,3,1,1,2,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3542,residential,1,3,1,1,1,4,1,2,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3543,tertiary,1,1,1,1,1,1,1,3,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3544,residential,3,4,1,1,6,6,6,2,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3545,living_street,1,1,1,1,1,3,1,1,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3546,residential,4,6,1,1,11,13,1,10,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3547,living_street,5,14,1,1,10,29,1,3,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3548,living_street,3,8,52,1,4,16,130,4,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3549,living_street,1,1,1,1,4,6,30,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3550,tertiary,1,1,1,1,1,1,1,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3551,tertiary,4,4,1,1,8,11,7,2,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3552,residential,6,1,5,1,15,1,5,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3553,secondary,3,1,1,1,3,3,1,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3554,residential,4,2,48,1,7,4,92,3,60 - 65 dB(A),55 - 60 dB(A),60 - 65 dB(A)
3555,residential,1,12,1,1,1,36,1,1,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A)
3556,tertiary,7,4,1,1,8,4,13,2,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3557,living_street,1,1,5,1,1,1,25,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3558,living_street,1,8,1,1,1,32,13,1,55 - 60 dB(A),55 - 60 dB(A),45 - 50 dB(A)
3559,residential,2,2,1,1,2,5,1,2,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3560,residential,1,5,1,2,1,20,1,2,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3561,residential,1,1,1,1,1,1,1,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3562,residential,2,3,4,1,10,13,8,5,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3563,residential,1,1,6,1,1,1,7,2,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A)
3564,secondary,10,3,58,3,12,10,119,3,70 - 75 dB(A),65 - 70 dB(A),65 - 70 dB(A)
3565,residential,1,9,1,1,5,32,1,2,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3566,pedestrian,1,1,1,1,1,2,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3567,secondary,6,4,6,1,7,6,64,4,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3568,tertiary,10,1,1,1,10,1,1,1,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3569,residential,3,2,1,1,7,6,5,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3570,residential,1,1,1,2,2,2,1,5,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3571,primary,5,4,104,4,8,6,195,5,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3572,tertiary,3,1,1,2,3,3,1,9,70 - 75 dB(A),70 - 75 dB(A),65 - 70 dB(A)
3573,residential,1,7,1,1,1,31,10,1,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3574,trunk,1,1,1,1,1,1,1,1,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3575,residential,5,12,1,1,10,31,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3576,pedestrian,1,1,1,1,2,9,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3577,residential,1,2,1,1,10,12,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3578,residential,2,9,1,1,6,17,1,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3579,residential,1,8,7,1,14,23,33,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3580,secondary,1,1,1,1,5,1,1,1,50 - 55 dB(A),50 - 55 dB(A),50 - 55 dB(A)
3581,residential,1,6,1,1,1,17,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3582,tertiary,3,8,1,6,9,17,10,9,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3583,residential,8,1,1,5,10,1,12,8,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3584,secondary,4,2,1,1,8,4,7,5,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3585,residential,3,3,1,1,3,10,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3586,residential,1,1,1,1,1,1,1,1,55 - 60 dB(A),55 - 60 dB(A),55 - 60 dB(A)
3587,living_street,1,3,1,1,1,6,1,2,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3588,residential,2,2,1,3,6,4,1,6,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3589,living_street,1,1,1,2,1,1,1,2,50 - 55 dB(A),45 - 50 dB(A),45 - 50 dB(A)
3590,primary,1,4,1,2,8,6,1,4,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3591,pedestrian,1,17,1,1,3,35,2,2,50 - 55 dB(A),50 - 55 dB(A),55 - 60 dB(A)
3592,residential,5,1,1,1,6,2,8,1,75 - 80 dB(A),70 - 75 dB(A),65 - 70 dB(A)
3593,secondary,1,1,1,2,1,1,1,6,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3594,secondary,2,1,1,1,2,6,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3595,residential,1,4,6,2,1,8,8,6,60 - 65 dB(A),60 - 65 dB(A),50 - 55 dB(A)
3596,secondary,3,2,2,3,10,5,6,8,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3597,tertiary,1,1,1,2,1,1,2,7,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3598,residential,1,1,1,1,1,3,1,1,60 - 65 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3599,residential,2,1,1,1,4,1,1,4,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3600,residential,1,1,1,1,1,3,3,2,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3601,residential,1,1,1,2,1,1,1,2,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3602,residential,1,12,1,1,1,18,2,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3603,residential,8,7,9,1,11,10,24,3,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3604,secondary,5,1,14,3,12,8,30,7,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
